LAMMPS DATA file for 4*4*4-Ga2O3

1280 atoms
2 atom types

0.0 49.50744079 xlo xhi
0.0 12.33503135 ylo yhi
0.0 22.88864419 zlo zhi
0.0 -5.63553564 0.0 xy xz yz

Masses

1 69.723
2 15.999

Atoms #atomic

287 1 8.13595826 6.16751568 12.60887342
288 1 8.13595826 9.25127351 12.60887342
289 1 8.16445868 0.00000000 21.72409286
290 1 8.16445868 3.08375784 21.72409286
291 1 8.16445868 6.16751568 21.72409286
292 1 8.16445868 9.25127351 21.72409286
293 2 8.20891775 0.00000000 8.22660560
294 2 8.20891775 3.08375784 8.22660560
295 2 8.20891775 6.16751568 8.22660560
296 2 8.20891775 9.25127351 8.22660560
297 2 8.56802904 1.54187892 15.71072417
298 2 8.56802904 4.62563676 15.71072417
299 2 8.56802904 7.70939459 15.71072417
300 2 8.56802904 10.79315243 15.71072417
301 2 9.06734261 0.00000000 5.09000416
302 2 9.06734261 3.08375784 5.09000416
303 2 9.06734261 6.16751568 5.09000416
304 2 9.06734261 9.25127351 5.09000416
305 2 9.14127181 1.54187892 12.90008107
306 2 9.14127181 4.62563676 12.90008107
307 2 9.14127181 7.70939459 12.90008107
308 2 9.14127181 10.79315243 12.90008107
309 1 9.45414989 1.54187892 3.92215000
310 1 9.45414989 4.62563676 3.92215000
311 1 9.45414989 7.70939459 3.92215000
312 1 9.45414989 10.79315243 3.92215000
313 2 9.50038310 0.00000000 20.38419964
314 2 9.50038310 3.08375784 20.38419964
315 2 9.50038310 6.16751568 20.38419964
316 2 9.50038310 9.25127351 20.38419964
317 1 9.54484217 0.00000000 6.88671238
318 1 9.54484217 3.08375784 6.88671238
319 1 9.54484217 6.16751568 6.88671238
320 1 9.54484217 9.25127351 6.88671238
321 1 9.57334259 0.00000000 16.00193182
322 1 9.57334259 3.08375784 16.00193182
323 1 9.57334259 6.16751568 16.00193182
324 1 9.57334259 9.25127351 16.00193182
325 2 9.61780166 0.00000000 2.50444455
326 2 9.61780166 3.08375784 2.50444455
327 2 9.61780166 6.16751568 2.50444455
328 2 9.61780166 9.25127351 2.50444455
329 1 9.66403487 1.54187892 18.96649419
330 1 9.66403487 4.62563676 18.96649419
331 1 9.66403487 7.70939459 18.96649419
332 1 9.66403487 10.79315243 18.96649419
333 2 9.97691295 1.54187892 9.98856313
334 2 9.97691295 4.62563676 9.98856313
335 2 9.97691295 7.70939459 9.98856313
336 2 9.97691295 10.79315243 9.98856313
337 2 10.05084215 0.00000000 17.79864003
338 2 10.05084215 3.08375784 17.79864003
339 2 10.05084215 6.16751568 17.79864003
340 2 10.05084215 9.25127351 17.79864003
341 2 10.55015571 1.54187892 7.17792002
342 2 10.55015571 4.62563676 7.17792002
343 2 10.55015571 7.70939459 7.17792002
344 2 10.55015571 10.79315243 7.17792002
345 2 10.90926701 0.00000000 14.66203860
346 2 10.90926701 3.08375784 14.66203860
347 2 10.90926701 6.16751568 14.66203860
348 2 10.90926701 9.25127351 14.66203860
349 1 10.95372608 0.00000000 1.16455133
350 1 10.95372608 3.08375784 1.16455133
351 1 10.95372608 6.16751568 1.16455133
352 1 10.95372608 9.25127351 1.16455133
353 1 10.98222649 0.00000000 10.27977077
354 1 10.98222649 3.08375784 10.27977077
355 1 10.98222649 6.16751568 10.27977077
356 1 10.98222649 9.25127351 10.27977077
357 2 11.02912098 1.54187892 22.25648731
358 2 11.02912098 4.62563676 22.25648731
359 2 11.02912098 7.70939459 22.25648731
360 2 11.02912098 10.79315243 22.25648731
361 1 11.07291878 1.54187892 13.24433314
362 1 11.07291878 4.62563676 13.24433314
363 1 11.07291878 7.70939459 13.24433314
364 1 11.07291878 10.79315243 13.24433314
365 2 11.38579686 1.54187892 4.26640208
366 2 11.38579686 4.62563676 4.26640208
367 2 11.38579686 7.70939459 4.26640208
368 2 11.38579686 10.79315243 4.26640208
369 1 11.41592826 0.00000000 21.08863315
370 1 11.41592826 3.08375784 21.08863315
371 1 11.41592826 6.16751568 21.08863315
372 1 11.41592826 9.25127351 21.08863315
373 2 11.45972606 0.00000000 12.07647898
374 2 11.45972606 3.08375784 12.07647898
375 2 11.45972606 6.16751568 12.07647898
376 2 11.45972606 9.25127351 12.07647898
377 2 11.57958003 1.54187892 19.67092769
378 2 11.57958003 4.62563676 19.67092769
379 2 11.57958003 7.70939459 19.67092769
380 2 11.57958003 10.79315243 19.67092769
381 2 11.95903962 1.54187892 1.45575897
382 2 11.95903962 4.62563676 1.45575897
383 2 11.95903962 7.70939459 1.45575897
384 2 11.95903962 10.79315243 1.45575897
385 2 12.31815092 0.00000000 8.93987755
386 2 12.31815092 3.08375784 8.93987755
387 2 12.31815092 6.16751568 8.93987755
388 2 12.31815092 9.25127351 8.93987755
389 1 12.39111040 0.00000000 4.55760972
390 1 12.39111040 3.08375784 4.55760972
391 1 12.39111040 6.16751568 4.55760972
392 1 12.39111040 9.25127351 4.55760972
393 2 12.43800489 1.54187892 16.53432626
394 2 12.43800489 4.62563676 16.53432626
395 2 12.43800489 7.70939459 16.53432626
396 2 12.43800489 10.79315243 16.53432626
397 1 12.48180269 1.54187892 7.52217209
398 1 12.48180269 4.62563676 7.52217209
399 1 12.48180269 7.70939459 7.52217209
400 1 12.48180269 10.79315243 7.52217209
401 1 12.82481217 0.00000000 15.36647210
402 1 12.82481217 3.08375784 15.36647210
403 1 12.82481217 6.16751568 15.36647210
404 1 12.82481217 9.25127351 15.36647210
405 2 12.86860997 0.00000000 6.35431793
406 2 12.86860997 3.08375784 6.35431793
407 2 12.86860997 6.16751568 6.35431793
408 2 12.86860997 9.25127351 6.35431793
409 1 12.91550445 1.54187892 18.33103447
410 1 12.91550445 4.62563676 18.33103447
411 1 12.91550445 7.70939459 18.33103447
412 1 12.91550445 10.79315243 18.33103447
413 2 12.98846394 1.54187892 13.94876664
414 2 12.98846394 4.62563676 13.94876664
415 2 12.98846394 7.70939459 13.94876664
416 2 12.98846394 10.79315243 13.94876664
417 2 13.34757523 0.00000000 21.43288522
418 2 13.34757523 3.08375784 21.43288522
419 2 13.34757523 6.16751568 21.43288522
420 2 13.34757523 9.25127351 21.43288522
421 2 13.72703483 0.00000000 3.21771650
422 2 13.72703483 3.08375784 3.21771650
423 2 13.72703483 6.16751568 3.21771650
424 2 13.72703483 9.25127351 3.21771650
425 2 13.84688880 1.54187892 10.81216521
426 2 13.84688880 4.62563676 10.81216521
427 2 13.84688880 7.70939459 10.81216521
428 2 13.84688880 10.79315243 10.81216521
429 1 13.89068660 1.54187892 1.80001105
430 1 13.89068660 4.62563676 1.80001105
431 1 13.89068660 7.70939459 1.80001105
432 1 13.89068660 10.79315243 1.80001105
433 2 13.92081799 0.00000000 18.62224211
434 2 13.92081799 3.08375784 18.62224211
435 2 13.92081799 6.16751568 18.62224211
436 2 13.92081799 9.25127351 18.62224211
437 1 14.23369608 0.00000000 9.64431105
438 1 14.23369608 3.08375784 9.64431105
439 1 14.23369608 6.16751568 9.64431105
440 1 14.23369608 9.25127351 9.64431105
441 2 14.27749388 0.00000000 0.63215689
442 2 14.27749388 3.08375784 0.63215689
443 2 14.27749388 6.16751568 0.63215689
444 2 14.27749388 9.25127351 0.63215689
445 1 14.32438836 1.54187892 12.60887342
446 1 14.32438836 4.62563676 12.60887342
447 1 14.32438836 7.70939459 12.60887342
448 1 14.32438836 10.79315243 12.60887342
449 1 14.35288877 1.54187892 21.72409286
450 1 14.35288877 4.62563676 21.72409286
451 1 14.35288877 7.70939459 21.72409286
452 1 14.35288877 10.79315243 21.72409286
453 2 14.39734785 1.54187892 8.22660560
454 2 14.39734785 4.62563676 8.22660560
455 2 14.39734785 7.70939459 8.22660560
456 2 14.39734785 10.79315243 8.22660560
457 2 14.75645914 0.00000000 15.71072417
458 2 14.75645914 3.08375784 15.71072417
459 2 14.75645914 6.16751568 15.71072417
460 2 14.75645914 9.25127351 15.71072417
461 2 15.25577270 1.54187892 5.09000416
462 2 15.25577270 4.62563676 5.09000416
463 2 15.25577270 7.70939459 5.09000416
464 2 15.25577270 10.79315243 5.09000416
465 2 15.32970190 0.00000000 12.90008107
466 2 15.32970190 3.08375784 12.90008107
467 2 15.32970190 6.16751568 12.90008107
468 2 15.32970190 9.25127351 12.90008107
469 1 15.64257999 0.00000000 3.92215000
470 1 15.64257999 3.08375784 3.92215000
471 1 15.64257999 6.16751568 3.92215000
472 1 15.64257999 9.25127351 3.92215000
473 2 15.68881320 1.54187892 20.38419964
474 2 15.68881320 4.62563676 20.38419964
475 2 15.68881320 7.70939459 20.38419964
476 2 15.68881320 10.79315243 20.38419964
477 1 15.73327227 1.54187892 6.88671238
478 1 15.73327227 4.62563676 6.88671238
479 1 15.73327227 7.70939459 6.88671238
480 1 15.73327227 10.79315243 6.88671238
481 1 15.76177268 1.54187892 16.00193182
482 1 15.76177268 4.62563676 16.00193182
483 1 15.76177268 7.70939459 16.00193182
484 1 15.76177268 10.79315243 16.00193182
485 2 15.80623176 1.54187892 2.50444455
486 2 15.80623176 4.62563676 2.50444455
487 2 15.80623176 7.70939459 2.50444455
488 2 15.80623176 10.79315243 2.50444455
489 1 15.85246497 0.00000000 18.96649419
490 1 15.85246497 3.08375784 18.96649419
491 1 15.85246497 6.16751568 18.96649419
492 1 15.85246497 9.25127351 18.96649419
493 2 16.16534305 0.00000000 9.98856313
494 2 16.16534305 3.08375784 9.98856313
495 2 16.16534305 6.16751568 9.98856313
496 2 16.16534305 9.25127351 9.98856313
497 2 16.23927225 1.54187892 17.79864003
498 2 16.23927225 4.62563676 17.79864003
499 2 16.23927225 7.70939459 17.79864003
500 2 16.23927225 10.79315243 17.79864003
501 2 16.73858581 0.00000000 7.17792002
502 2 16.73858581 3.08375784 7.17792002
503 2 16.73858581 6.16751568 7.17792002
504 2 16.73858581 9.25127351 7.17792002
505 2 17.09769711 1.54187892 14.66203860
506 2 17.09769711 4.62563676 14.66203860
507 2 17.09769711 7.70939459 14.66203860
508 2 17.09769711 10.79315243 14.66203860
509 1 17.14215618 1.54187892 1.16455133
510 1 17.14215618 4.62563676 1.16455133
511 1 17.14215618 7.70939459 1.16455133
512 1 17.14215618 10.79315243 1.16455133
513 1 17.17065659 1.54187892 10.27977077
514 1 17.17065659 4.62563676 10.27977077
515 1 17.17065659 7.70939459 10.27977077
516 1 17.17065659 10.79315243 10.27977077
517 2 17.21755108 0.00000000 22.25648731
518 2 17.21755108 3.08375784 22.25648731
519 2 17.21755108 6.16751568 22.25648731
520 2 17.21755108 9.25127351 22.25648731
521 1 17.26134888 0.00000000 13.24433314
522 1 17.26134888 3.08375784 13.24433314
523 1 17.26134888 6.16751568 13.24433314
524 1 17.26134888 9.25127351 13.24433314
525 2 17.57422696 0.00000000 4.26640208
526 2 17.57422696 3.08375784 4.26640208
527 2 17.57422696 6.16751568 4.26640208
528 2 17.57422696 9.25127351 4.26640208
529 1 17.60435836 1.54187892 21.08863315
530 1 17.60435836 4.62563676 21.08863315
531 1 17.60435836 7.70939459 21.08863315
532 1 17.60435836 10.79315243 21.08863315
533 2 17.64815616 1.54187892 12.07647898
534 2 17.64815616 4.62563676 12.07647898
535 2 17.64815616 7.70939459 12.07647898
536 2 17.64815616 10.79315243 12.07647898
537 2 17.76801013 0.00000000 19.67092769
538 2 17.76801013 3.08375784 19.67092769
539 2 17.76801013 6.16751568 19.67092769
540 2 17.76801013 9.25127351 19.67092769
541 2 18.14746972 0.00000000 1.45575897
542 2 18.14746972 3.08375784 1.45575897
543 2 18.14746972 6.16751568 1.45575897
544 2 18.14746972 9.25127351 1.45575897
545 2 18.50658102 1.54187892 8.93987755
546 2 18.50658102 4.62563676 8.93987755
547 2 18.50658102 7.70939459 8.93987755
548 2 18.50658102 10.79315243 8.93987755
549 1 18.57954050 1.54187892 4.55760972
550 1 18.57954050 4.62563676 4.55760972
551 1 18.57954050 7.70939459 4.55760972
552 1 18.57954050 10.79315243 4.55760972
553 2 18.62643499 0.00000000 16.53432626
554 2 18.62643499 3.08375784 16.53432626
555 2 18.62643499 6.16751568 16.53432626
556 2 18.62643499 9.25127351 16.53432626
557 1 18.67023279 0.00000000 7.52217209
558 1 18.67023279 3.08375784 7.52217209
559 1 18.67023279 6.16751568 7.52217209
560 1 18.67023279 9.25127351 7.52217209
561 1 19.01324227 1.54187892 15.36647210
562 1 19.01324227 4.62563676 15.36647210
563 1 19.01324227 7.70939459 15.36647210
564 1 19.01324227 10.79315243 15.36647210
565 2 19.05704007 1.54187892 6.35431793
566 2 19.05704007 4.62563676 6.35431793
567 2 19.05704007 7.70939459 6.35431793
568 2 19.05704007 10.79315243 6.35431793
569 1 19.10393455 0.00000000 18.33103447
570 1 19.10393455 3.08375784 18.33103447
571 1 19.10393455 6.16751568 18.33103447
572 1 19.10393455 9.25127351 18.33103447
573 2 19.17689404 0.00000000 13.94876664
574 2 19.17689404 3.08375784 13.94876664
575 2 19.17689404 6.16751568 13.94876664
576 2 19.17689404 9.25127351 13.94876664
577 2 19.53600533 1.54187892 21.43288522
578 2 19.53600533 4.62563676 21.43288522
579 2 19.53600533 7.70939459 21.43288522
580 2 19.53600533 10.79315243 21.43288522
581 2 19.91546492 1.54187892 3.21771650
582 2 19.91546492 4.62563676 3.21771650
583 2 19.91546492 7.70939459 3.21771650
584 2 19.91546492 10.79315243 3.21771650
585 2 20.03531889 0.00000000 10.81216521
586 2 20.03531889 3.08375784 10.81216521
587 2 20.03531889 6.16751568 10.81216521
588 2 20.03531889 9.25127351 10.81216521
589 1 20.07911670 0.00000000 1.80001105
590 1 20.07911670 3.08375784 1.80001105
591 1 20.07911670 6.16751568 1.80001105
592 1 20.07911670 9.25127351 1.80001105
593 2 20.10924809 1.54187892 18.62224211
594 2 20.10924809 4.62563676 18.62224211
595 2 20.10924809 7.70939459 18.62224211
596 2 20.10924809 10.79315243 18.62224211
597 1 20.42212618 1.54187892 9.64431105
598 1 20.42212618 4.62563676 9.64431105
599 1 20.42212618 7.70939459 9.64431105
600 1 20.42212618 10.79315243 9.64431105
601 2 20.46592398 1.54187892 0.63215689
602 2 20.46592398 4.62563676 0.63215689
